"","Stemmed","Lemmatised","STM"
"776","forev","familiar","condescend"
"777","forget","family","condesend"
"778","forgot","familys","condit"
"779","forgotten","fan","condonw"
"780","fork","fantastic","conduc"
"781","form","far","conduct"
"782","fortnightli","fast","confdent"
"783","fortun","fat","confectionari"
"784","forum","father","confer"
"785","forward","fatigue","confid"
"786","foster","fault","confidenti"
"787","found","faultless","confirm"
"788","four","favourite","conflus"
"789","fractur","fay","conform"
"790","frame","faye","confus"
"791","fred","fear","connect"
"792","free","feb","conscienti"
"793","freez","fee","conscious"
"794","frequenc","feed","consecut"
"795","frequent","feedback","consent"
"796","fresh","feel","consequ"
"797","fri","feeling","conserv"
"798","fridai","female","consic"
"799","fridg","figure","consid"
"800","friend","file","consider"
"801","friendi","fill","consist"
"802","friendli","film","consol"
"803","frighten","finally","consolid"
"804","front","find","constant"
"805","fruit","fine","constist"
"806","frustrat","finish","constraint"
"807","fulfil","firm","construct"
"808","full","first","consul"
"809","fulli","fish","consult"
"810","fun","fit","consum"
"811","fund","five","conta"
"812","funni","fix","contact"
"813","futur","flexibility","contactvisit"
"814","g","flexible","contain"
"815","gain","floor","content"
"816","game","fluid","contextu"
"817","gap","foam","contin"
"818","garden","fob","continu"
"819","gave","focus","continun"
"820","gaynor","follow","continutiy"
"821","gender","followup","contradict"
"822","gener","food","contradictori"
"823","gentl","foot","control"
"824","gentleman","force","controversi"
"825","genuin","forever","conveni"
"826","georg","forget","convers"
"827","get","fork","convert"
"828","girl","form","conves"
"829","give","fortnightly","convey"
"830","given","fortunately","cook"
"831","glad","forum","cool"
"832","glass","forward","cooler"
"833","glenfield","foster","coordin"
"834","glove","four","coordinatoradjac"
"835","go","fracture","copd"
"836","goal","frame","cope"
"837","god","fred","copi"
"838","goe","free","core"
"839","gold","freeze","corner"
"840","gone","frequency","corona"
"841","goo","frequent","coronavirus"
"842","good","frequently","correct"
"843","googl","fresh","correspond"
"844","got","fri","corridor"
"845","govern","friday","cos"
"846","gp","fridge","cost"
"847","grace","friend","costanewsag"
"848","graham","friendliness","cotgrav"
"849","grandson","friendly","couch"
"850","grang","friendy","couldn’t"
"851","grate","frighten","couldnt"
"852","gratefulli","front","council"
"853","gratitud","fruit","councillor"
"854","great","frustrate","councilor"
"855","greater","fulfill","counsel"
"856","greatli","full","counsellor"
"857","green","fully","count"
"858","greet","fun","counti"
"859","group","fund","countri"
"860","grow","funny","coupl"
"861","growth","future","cours"
"862","grumbl","g","courteous"
"863","guess","gain","courtesi"
"864","gui","game","courtusley"
"865","guid","gap","cov-"
"866","guidanc","garden","cover"
"867","gym","gaynor","covid"
"868","ha","gender","covid-"
"869","habit","general","coz"
"870","hadnt","generally","cpap"
"871","hair","generic","cpn"
"872","half","generous","cpns"
"873","hand","gentle","crack"
"874","handcuf","gentleman","craft"
"875","handcuff","genuine","crap"
"876","handl","genuinely","crazi"
"877","handout","george","cream"
"878","hang","get","creat"
"879","hannah","girl","credit"
"880","happen","give","cri"
"881","happi","glad","crime"
"882","happier","glass","crimin"
"883","harass","glenfield","crisi"
"884","hard","glove","criteria"
"885","harder","go","critic"
"886","hare","goal","croft"
"887","harm","god","cross"
"888","hassl","gold","crucial"
"889","hatch","goo","csn"
"890","hate","good","csws"
"891","havent","google","cubicl"
"892","haylei","government","cud"
"893","hca","gp","cuff"
"894","head","grace","cultur"
